iter	Passed	Remaining
0	165	82569
1	193	48097
2	207	34391
3	231	28736
4	256	25390
5	280	23125
6	306	21563
7	323	19887
8	350	19130
9	361	17730
10	386	17167
11	399	16253
12	426	15961
13	443	15404
14	467	15110
15	478	14462
16	504	14332
17	526	14100
18	542	13736
19	572	13736
20	602	13750
21	628	13653
22	648	13447
23	667	13245
24	676	12851
25	705	12862
26	737	12912
27	748	12616
28	775	12600
29	790	12382
30	801	12121
31	829	12136
32	858	12148
33	885	12132
34	914	12144
35	924	11917
36	950	11893
37	977	11882
38	1007	11912
39	1021	11751
40	1059	11864
41	1107	12072
42	1145	12172
43	1160	12023
44	1197	12110
45	1229	12129
46	1269	12240
47	1298	12225
48	1352	12451
49	1364	12279
50	1399	12319
51	1430	12323
52	1461	12324
53	1489	12300
54	1518	12288
55	1550	12292
56	1586	12331
57	1623	12370
58	1659	12404
59	1701	12478
60	1715	12347
61	1742	12309
62	1768	12270
63	1793	12218
64	1821	12189
65	1845	12134
66	1871	12096
67	1896	12047
68	1921	12005
69	1946	11959
70	1972	11920
71	1998	11880
72	2023	11834
73	2048	11794
74	2073	11751
75	2101	11724
76	2126	11680
77	2153	11649
78	2179	11617
79	2204	11575
80	2229	11534
81	2254	11491
82	2279	11450
83	2304	11411
84	2328	11369
85	2353	11328
86	2378	11289
87	2404	11259
88	2430	11223
89	2455	11184
90	2479	11145
91	2504	11108
92	2522	11037
93	2546	11000
94	2570	10960
95	2594	10920
96	2620	10887
97	2646	10854
98	2670	10816
99	2695	10781
100	2720	10746
101	2745	10711
102	2769	10676
103	2797	10651
104	2824	10626
105	2849	10592
106	2874	10557
107	2899	10522
108	2925	10493
109	2949	10457
110	2974	10423
111	2998	10386
112	3024	10359
113	3051	10330
114	3076	10299
115	3100	10264
116	3127	10236
117	3151	10201
118	3176	10169
119	3202	10140
120	3228	10110
121	3252	10076
122	3276	10043
123	3301	10009
124	3327	9983
125	3352	9951
126	3377	9918
127	3401	9885
